Start,End,Pollster,Sponsor,SampleSize,Pop,tracking,Text,Category,Include?,Yes,No,Unsure,Rep Sample,Rep Yes,Rep No,Dem Sample,Dem Yes,Dem No,Ind Sample,Ind Yes,Ind No,URL,Notes
6/28/2019,7/1/2019,ABC News/Washington Post,,1008,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,37,59,4,232,7,87,292,61,36,373,37,59,https://games-cdn.washingtonpost.com/notes/prod/default/documents/2557e081-f90a-4c44-a04e-9c98f04bb725/note/d1660489-1b82-43c7-afce-812d2861ecf7.pdf#page=1,
4/22/2019,4/25/2019,ABC News/Washington Post,,1001,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,37,56,6,260,10,87,290,62,29,360,36,59,https://games-cdn.washingtonpost.com/notes/prod/default/documents/873ceb77-ad0f-439a-891b-d440139189d0/note/fae3467f-5c96-41b7-99ef-cd49f752e038.pdf,
1/21/2019,1/24/2019,ABC News/Washington Post,,1001,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,40,55,6,240,7,90,320,64,30,370,42,53,langerresearch.com/wp-content/uploads/1204a2TrumpInvestigations-1.pdf,
8/26/2018,8/29/2018,ABC News/Washington Post,,1003,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,49,46,5,251,15,82,331,75,21,371,49,46,https://www.langerresearch.com/wp-content/uploads/1200a1TrumpandtheMuellerInvestigation-1.pdf,
6/8/2019,6/12/2019,Civiqs,,1559,rv,,Do you think the House of Representatives should open an impeachment inquiry to determine if President Donald Trump should be removed from office?,begin_inquiry,yes,43,51,5,483,5,93,577,77,15,499,41,53,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2019_06.pdf,
5/28/2019,5/31/2019,CNN/SSRS,,1006,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,41,54,5,342,6,93,272,76,18,392,35,59,"https://cdn.cnn.com/cnn/2019/images/06/01/rel7a.-.trump,.investigations.pdf",
4/25/2019,4/28/2019,CNN/SSRS,,1007,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,37,59,4,262,7,93,332,69,25,413,30,66,https://cdn.cnn.com/cnn/2019/images/04/30/rel6c.-.mueller.report.pdf,
3/14/2019,3/17/2019,CNN/SSRS,,1003,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,36,59,5,251,4,95,321,68,28,441,33,61,https://www.documentcloud.org/documents/5776897-Trump-and-Russia-Conducted-March-14-17-2019.html,
12/6/2018,12/9/2018,CNN/SSRS,,1015,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,43,50,8,264,7,91,325,80,12,426,36,55,https://www.documentcloud.org/documents/5626125-Congress.html,
11/8/2018,11/12/2018,CNN/SSRS,,677,a,,Do you think there is or is not enough cause right now for Congress to begin hearings into whether or not President Trump should be impeached?,begin_inquiry,yes,37,58,4,169,,,264,62,33,244,33,64,https://www.documentcloud.org/documents/5113373-Post-Election-Conducted-Nov-8-12-2018.html,
11/8/2018,11/12/2018,CNN/SSRS,,677,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,42,55,3,169,,,264,71,25,244,34,62,https://www.documentcloud.org/documents/5113373-Post-Election-Conducted-Nov-8-12-2018.html,
9/6/2018,9/9/2018,CNN/SSRS,,1003,a,,Do you think there is or is not enough cause right now for Congress to begin hearings into whether or not President Trump should be impeached?,begin_inquiry,yes,42,53,5,251,11,86,341,66,29,401,43,53,https://www.documentcloud.org/documents/4872641-Russia-Impeachment-Conducted-September-6-9-2018.html,
9/6/2018,9/9/2018,CNN/SSRS,,1003,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,47,48,5,251,8,91,341,78,16,401,48,47,https://www.documentcloud.org/documents/4872641-Russia-Impeachment-Conducted-September-6-9-2018.html,
6/14/2018,6/17/2018,CNN/SSRS,,1012,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,42,51,7,253,9,89,304,77,16,455,38,56,http://cdn.cnn.com/cnn/2018/images/06/21/rel6f.-.russia.investigation.pdf,
7/21/2019,7/23/2019,Fox News,,1004,rv,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,42,50,8,402,8,88,462,74,18,151,36,47,https://www.foxnews.com/politics/fox-news-poll-7-24,
6/9/2019,6/12/2019,Fox News,,1001,rv,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,43,50,6,410,10,89,460,74,18,130,40,43,https://www.foxnews.com/politics/fox-news-poll-6-16,
5/11/2019,5/14/2019,Fox News,,1008,rv,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,42,50,8,403,9,87,484,72,20,121,33,45,https://www.foxnews.com/politics/fox-news-poll-5-16,
1/20/2019,1/22/2019,Fox News,,1008,rv,,"Do you think President Donald Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,41,49,10,393,9,86,413,71,18,202,44,38,https://www.foxnews.com/politics/fox-news-poll-document-1-23-19,
9/16/2018,9/19/2018,Fox News,,1003,rv,,"Do you think President Donald Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,42,47,12,391,10,82,451,73,16,160,32,45,https://www.foxnews.com/politics/fox-news-poll-9-23,
6/3/2018,6/6/2018,Fox News,,1001,rv,,"Do you think President Trump should be impeached and removed from office, or not?",impeach_and_remove,yes,39,51,9,370,8,88,470,69,19,160,25,59,https://www.foxnews.com/politics/fox-news-poll-6-7,
6/3/2019,6/16/2019,Gallup,,1018,a,,"Based on what you know about Robert Mueller's investigation into Donald Trump's activities, do you think that Donald Trump should or should not be impeached and removed from office?",reasons,no,45,53,2,334,7,92,278,81,18,382,46,51,https://news.gallup.com/poll/259871/trump-approval-remains-low-40s.aspx,
9/22/2019,9/23/2019,HarrisX,ScottRasmussen.com,1006,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,41,15,322,18,74,372,73,11,292,38,42,https://scottrasmussen.com/crosstabs-sep-22-23-19-2/,
9/15/2019,9/16/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,45,11,320,16,79,370,76,13,290,35,49,https://scottrasmussen.com/crosstabs-sep-15-16-19/,
9/8/2019,9/9/2019,HarrisX,ScottRasmussen.com,1001,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,45,13,320,11,82,370,73,14,290,35,45,https://scottrasmussen.com/crosstabs-sep-8-9-19-2/,
9/1/2019,9/2/2019,HarrisX,ScottRasmussen.com,1001,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,47,10,320,8,88,370,77,15,290,41,41,https://scottrasmussen.com/crosstabs-sep-1-2-19-3/,
8/25/2019,8/26/2019,HarrisX,ScottRasmussen.com,1005,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,44,12,321,13,80,372,73,15,291,42,42,https://scottrasmussen.com/crosstabs-aug-25-26-19-2/,
8/18/2019,8/19/2019,HarrisX,ScottRasmussen.com,1001,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,44,14,320,15,76,370,72,16,290,34,47,https://scottrasmussen.com/crosstabs-aug-18-19-19-2/,
8/11/2019,8/12/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,42,14,320,13,80,370,73,12,290,40,40,https://scottrasmussen.com/crosstabs-aug-11-12-19/,
8/4/2019,8/5/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,46,42,12,320,16,77,370,76,16,290,41,40,https://scottrasmussen.com/crosstabs-aug-4-5-3/,
7/28/2019,7/29/2019,HarrisX,ScottRasmussen.com,1001,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,43,14,320,17,81,371,71,13,290,35,43,https://scottrasmussen.com/crosstabs-july-28-29-2/,
7/14/2019,7/15/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,46,12,320,12,83,370,69,17,290,39,45,https://scottrasmussen.com/crosstabs-july-14-15-2/,
7/7/2019,7/8/2019,HarrisX,ScottRasmussen.com,1003,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,46,13,321,12,83,371,70,15,291,39,45,https://scottrasmussen.com/crosstabs-july-7-8-3/,
6/30/2019,7/1/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,44,13,320,11,85,370,71,14,290,43,39,https://scottrasmussen.com/crosstabs-june-30-july-1-3/,
6/23/2019,6/24/2019,HarrisX,ScottRasmussen.com,1001,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,43,13,320,12,82,370,75,13,290,39,41,https://scottrasmussen.com/crosstabs-june-23-24-2/,
6/16/2019,6/17/2019,HarrisX,ScottRasmussen.com,1001,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,46,13,320,11,84,370,71,12,290,36,49,https://scottrasmussen.com/crosstabs-june-16-17-2/,
6/9/2019,6/10/2019,HarrisX,ScottRasmussen.com,1004,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,42,14,321,12,79,372,75,11,291,43,40,https://scottrasmussen.com/crosstabs-june-9-10-2/,
6/2/2019,6/3/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,44,13,320,12,82,370,72,13,290,40,44,https://scottrasmussen.com/crosstabs-june-2-3-2/,
5/30/2019,5/31/2019,HarrisX,ScottRasmussen.com,1003,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,43,12,321,14,81,371,74,11,291,40,43,https://scottrasmussen.com/crosstabs-may-30-31-2/,
5/22/2019,5/23/2019,HarrisX,ScottRasmussen.com,1001,rv,,Do you think the House of Representatives should formally launch an impeachment hearing against the president?,begin_inquiry,yes,39,44,18,320,13,83,370,64,16,290,36,36,https://scottrasmussen.com/crosstabs-may-22-23-2/,
5/3/2019,5/4/2019,HarrisX,ScottRasmussen.com,1002,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,44,14,321,10,84,371,71,12,291,37,45,https://scottrasmussen.com/crosstabs-may-3-4-3/,
4/21/2019,4/22/2019,HarrisX,ScottRasmussen.com,1003,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,41,45,15,321,11,81,371,70,12,291,37,47,https://scottrasmussen.com/crosstabs-april-21-22/,
4/18/2019,4/19/2019,HarrisX,ScottRasmussen.com,1004,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,45,13,321,10,85,371,70,17,291,43,39,https://scottrasmussen.com/crosstabs-april-18-19-3/,
3/28/2019,3/29/2019,HarrisX,ScottRasmussen.com,1002,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,37,48,15,321,9,85,371,70,16,291,29,50,https://scottrasmussen.com/crosstabs-mar-28-29-2/,
3/24/2019,3/25/2019,HarrisX,ScottRasmussen.com,1001,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,42,47,11,320,13,84,370,73,17,290,34,48,https://scottrasmussen.com/crosstabs-mar-24-25-2/,
2/22/2019,2/23/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,47,39,14,320,11,82,370,78,8,290,46,33,https://scottrasmussen.com/crosstabs-feb-22-23/,
1/19/2019,1/20/2019,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,45,41,14,320,9,83,370,77,12,290,43,34,https://scottrasmussen.com/crosstabs-jan-19-20-3/,
12/12/2018,12/13/2018,HarrisX,ScottRasmussen.com,999,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,41,15,320,12,81,370,75,11,290,41,34,https://scottrasmussen.com/crosstabs-dec-13-14-2/,
10/18/2018,10/19/2018,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,43,43,14,320,9,81,370,74,14,290,39,41,https://scottrasmussen.com/oct-18-19-crosstabs/,
8/13/2018,8/14/2018,HarrisX,ScottRasmussen.com,1000,rv,,Should President Trump be impeached and removed from office?,impeach_and_remove,yes,44,41,15,320,11,79,370,76,11,290,40,40,https://scottrasmussen.com/crosstabs-august-13-14-2018-4/,
9/23/2019,9/24/2019,Ipsos,Reuters,876,rv,,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should NOT be impeached, don't know",impeach,yes,39,47,14,381,10,85,374,69,15,90,32,51,https://www.ipsos.com/sites/default/files/ct/news/documents/2019-09/topline_reuters_trump_biden_ukraine_poll_09_24_2019__0.pdf,
5/6/2019,5/7/2019,Ipsos,Reuters,841,rv,,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should NOT be impeached, don't know",impeach,yes,45,45,10,305,17,79,336,73,14,167,43,42,https://fingfx.thomsonreuters.com/gfx/mkt/12/165/165/2019%20Reuters%20Tracking%20-%20Investigation%20Fatigue%2005%2009%202019.pdf,
4/18/2019,4/19/2019,Ipsos,Reuters,1005,a,,"Which of the following comes closest to your opinion? President Trump should be impeached, President Trump should NOT be impeached, don't know",impeach,yes,40,42,18,344,16,74,353,67,16,210,36,46,https://graphics.reuters.com/USA-TRUMP-RUSSIA-POLL/010091JB28J/Mueller%20Investigation%20Report%2004%2019%202019%20TRENDED%20PID.pdf,
8/16/2019,8/20/2019,Monmouth University,,800,a,,"Do you think President Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,35,59,6,204,2,94,234,69,25,347,30,64,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_082219.pdf/,
6/12/2019,6/17/2019,Monmouth University,,751,a,,"Do you think President Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,35,59,6,192,4,94,240,63,27,305,30,64,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_062019.pdf/,
5/16/2019,5/20/2019,Monmouth University,,802,a,,"Do you think President Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,39,56,5,210,10,88,246,74,21,335,30,62,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_052219.pdf/,
3/1/2019,3/4/2019,Monmouth University,,802,a,,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,42,54,4,232,8,91,219,75,19,339,40,57,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_030619.pdf/,
11/9/2018,11/12/2018,Monmouth University,,802,a,,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,36,59,5,244,5,94,250,70,23,295,26,67,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_111418.pdf/,
4/26/2018,4/30/2018,Monmouth University,,803,a,,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,39,56,5,209,4,95,258,68,24,319,36,58,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_050118.pdf/,
1/28/2018,1/30/2018,Monmouth University,,806,a,,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,38,57,4,236,5,93,250,70,22,309,37,59,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_013118.pdf/,
7/13/2017,7/16/2017,Monmouth University,,800,a,,"Do you think President Donald Trump should be impeached and compelled to leave the presidency, or not?",impeach_and_remove,yes,41,53,6,196,12,86,257,70,24,326,32,61,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_071717.pdf/,
9/24/2019,9/26/2019,Morning Consult,Politico,1640,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,43,43,13,541,10,85,579,79,12,520,39,36,https://morningconsult.com/wp-content/uploads/2019/09/190970_crosstabs_POLITICO_RVs_v1_JB.pdf,
9/20/2019,9/22/2019,Morning Consult,Politico,1994,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,49,15,648,5,89,726,66,17,620,33,45,https://morningconsult.com/wp-content/uploads/2019/09/190959_crosstabs_POLITICO_PARTIAL.pdf,
9/13/2019,9/15/2019,Morning Consult,Politico,1994,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,37,50,12,618,6,88,718,70,18,657,31,50,https://morningconsult.com/wp-content/uploads/2019/09/84257_190937_crosstabs_POLITICO_RVs_v1_JB.pdf,
9/7/2019,9/8/2019,Morning Consult,Politico,1998,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,35,53,12,639,6,90,714,65,22,644,32,50,https://morningconsult.com/wp-content/uploads/2019/09/85402_190920_crosstabs_POLITICO_RVs_v1_JB.pdf,
8/16/2019,8/18/2019,Morning Consult,Politico,1998,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,37,50,13,633,6,88,724,67,19,641,34,47,https://morningconsult.com/wp-content/uploads/2019/08/190845_crosstabs_POLITICO_RVs_v1_JB.pdf,
8/1/2019,8/3/2019,Morning Consult,Politico,1996,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,52,12,687,6,90,705,70,19,604,32,49,https://morningconsult.com/wp-content/uploads/2019/08/190801_crosstabs_POLITICO_RVs_v1_JB.pdf,
7/25/2019,7/25/2019,Morning Consult,Politico,1992,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,37,46,16,633,6,86,792,64,18,567,34,42,https://morningconsult.com/wp-content/uploads/2019/07/190743_crosstabs_POLITICO_RVs_v1_JB.pdf,
7/19/2019,7/21/2019,Morning Consult,Politico,1992,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,38,50,12,641,8,87,748,65,21,603,36,47,https://morningconsult.com/wp-content/uploads/2019/07/190734_crosstabs_POLITICO_RVs_v1.pdf,
6/29/2019,7/1/2019,Morning Consult,Politico,1472,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,50,15,457,6,85,543,63,20,472,32,49,https://morningconsult.com/wp-content/uploads/2019/07/190675_crosstabs_POLITICO_RVs_v2_BH.pdf,
6/21/2019,6/24/2019,Morning Consult,Politico,1991,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,51,13,654,7,88,707,65,21,630,36,45,https://morningconsult.com/wp-content/uploads/2019/06/190659_crosstabs_POLITICO_RVs_v1_JB-LJCEodPbT3.pdf,
6/14/2019,6/16/2019,Morning Consult,Politico,1992,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,36,50,14,658,7,87,719,67,18,616,31,48,https://morningconsult.com/wp-content/uploads/2019/06/190634_crosstabs_POLITICO_RVs_BJrUQMOZQi.pdf,
6/7/2019,6/9/2019,Morning Consult,Politico,1991,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,38,48,14,610,6,89,787,65,18,593,34,45,https://morningconsult.com/wp-content/uploads/2019/06/190618_crosstabs_POLITICO_RVs_v1_cxy7nwRpto.pdf,
5/31/2019,6/2/2019,Morning Consult,Politico,1997,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,38,48,14,625,7,86,744,69,17,628,32,47,https://morningconsult.com/wp-content/uploads/2019/06/190563_crosstabs_POLITICO_RVs_VdD8chNbV2.pdf,
5/10/2019,5/12/2019,Morning Consult,Politico,1995,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,35,50,15,631,7,86,698,66,19,667,30,49,https://morningconsult.com/wp-content/uploads/2019/05/190526_crosstabs_POLITICO_RVs_v1.pdf,
4/28/2019,4/29/2019,Morning Consult,Politico,1995,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,32,51,17,648,6,85,721,60,24,626,27,48,https://morningconsult.com/wp-content/uploads/2019/04/190465_crosstabs_POLITICO_RVs_v1_AP-copy.pdf,
4/19/2019,4/21/2019,Morning Consult,Politico,1992,rv,,"As you may know, the first step toward removing a president from office is impeachment. Do you believe Congress should or should not begin impeachment proceedings to remove President Trump from office?",impeach_and_remove,yes,34,48,18,600,7,84,742,59,22,649,31,44,https://morningconsult.com/wp-content/uploads/2019/04/190452_crosstabs_POLITICO_RVs_v2_AP.pdf,
12/13/2017,12/15/2017,NBC News/Wall Street Journal,,900,a,,Do you believe that Congress should hold impeachment hearings to remove Donald Trump from office or not?,begin_inquiry,yes,41,54,5,225,7,90,288,70,25,306,40,53,https://www.nbcnews.com/politics/first-read/poll-just-36-americans-indicate-they-would-vote-trump-2020-n831266,
9/17/2018,10/1/2018,Public Religion Research Institute,,2509,a,,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,47,51,2,575,11,89,918,77,21,880,44,54,https://www.prri.org/wp-content/uploads/2018/10/AVS-2018-Topline-COMBINED.pdf,
10/18/2017,10/30/2017,Public Religion Research Institute,,2019,a,,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,40,56,4,525,6,91,580,69,27,839,40,56,https://www.prri.org/research/american-values-survey-2017/,
4/9/2019,4/20/2019,Public Religion Research Institute,,1100,a,,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,40,54,6,352,15,83,328,69,25,359,36,58,https://www.prri.org/wp-content/uploads/2019/06/April-2019-LGBT-Topline-6-11-release.pdf,
8/2/2017,8/8/2017,Public Religion Research Institute,,1002,a,,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,40,53,7,257,7,91,295,72,24,388,38,53,https://www.prri.org/wp-content/uploads/2017/08/August-2017-Politics-Topline.pdf,
2/10/2017,2/19/2017,Public Religion Research Institute,,1050,a,,"Based on what you have read or heard, do you believe that President Donald Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,30,65,5,294,4,96,317,58,36,384,27,68,prri.org/spotlight/nation-divided-on-impeaching-trump/,
9/19/2019,9/23/2019,Quinnipiac University,,1337,rv,,"Do you think that President Trump should be impeached and removed from office, or don't you think so?",impeach_and_remove,yes,37,57,6,414,4,95,441,73,21,334,34,58,https://poll.qu.edu/national/release-detail?ReleaseID=3641,
7/25/2019,7/28/2019,Quinnipiac University,,1306,rv,,"Do you think that Congress should begin the process to impeach President Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,32,60,8,392,3,95,444,61,29,340,28,62,https://poll.qu.edu/national/release-detail?ReleaseID=3636,
6/6/2019,6/10/2019,Quinnipiac University,,1214,rv,,"Do you think that Congress should begin the process to impeach President Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,33,61,6,376,2,97,401,62,32,340,35,57,https://poll.qu.edu/national/release-detail?ReleaseID=2628,
4/26/2019,4/29/2019,Quinnipiac University,,1044,rv,,"Do you think that Congress should begin the process to impeach President Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,29,66,4,292,4,95,334,56,38,334,27,70,https://poll.qu.edu/national/release-detail?ReleaseID=2618,
3/1/2019,3/4/2019,Quinnipiac University,,1120,rv,,"Do you think that Congress should begin the process to impeach President Donald Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,35,59,7,269,6,92,347,66,27,414,30,60,https://poll.qu.edu/national/release-detail?ReleaseID=2603,
12/12/2018,12/17/2018,Quinnipiac University,,1147,a,,"Do you think that Congress should begin the process to impeach President Donald Trump, which could lead to his removal from office, or don't you think so?",begin_proceedings,yes,35,60,5,287,8,91,344,64,31,424,32,63,https://poll.qu.edu/national/release-detail?ReleaseID=2591,
9/6/2018,9/9/2018,Quinnipiac University,,1038,rv,,"Would you like to see Congress begin the process to impeach President Donald Trump, or not?",begin_proceedings,yes,36,56,8,260,2,95,353,70,21,343,31,61,https://poll.qu.edu/national/release-detail?ReleaseID=2568,
5/2/2019,5/5/2019,Rasmussen Reports/Pulse Opinion Research,,1000,lv,,Should the House impeach President Trump?,impeach,yes,40,50,10,330,12,82,370,66,22,,,,http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/may_2019/crosstabs_impeachment_may_2_and_5_2019,
8/20/2019,8/25/2019,Suffolk University,USA Today,1000,rv,,"From your own point of view, do you think the House of Representatives should seriously consider impeaching President Donald Trump, yes or no?",consider,yes,37,57,5,290,7,91,335,69,22,353,33,62,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2019/9_9_2019_tables_pdftxt.pdf?la=en&hash=116EBF6BEBCAD4800718A56F40B1739A1DA86651,
6/11/2019,6/15/2019,Suffolk University,USA Today,1000,rv,,"From your own point of view, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,32,61,7,319,8,91,350,59,29,321,26,64,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2019/6_24_2019_tables_pdftxt.pdf?la=en&hash=7DFB3FF61D1DDF79FCBED45A3E4E66503111FD53,
3/13/2019,3/17/2019,Suffolk University,USA Today,1000,rv,,"From your own point of view, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,28,62,10,340,6,92,367,53,34,277,24,61,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2019/3_22_2019_complete_tables_pdftxt.pdf?la=en&hash=2D225CC30F690D52C81D1749F67C41DE339D1BD4,
10/18/2018,10/22/2018,Suffolk University,USA Today,1000,lv,,"How about you, do you think the House of Representatives should seriously consider impeaching President Donald Trump?",consider,yes,39,54,7,359,3,95,376,69,21,254,43,45,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2018/10_25_2018_tables_pdftxt.pdf?la=en&hash=0577E0966D4FC379A219832DB9A0DEFC0F826ECE,
